scene,slot,step,setting,power,exposure,gain,policy_power,policy_exposure,policy_gain,ctl_dt,goal_dist,clearance,collided,x,y,z,local_x,local_y,local_z,look_target_x,look_target_y,look_target_z,look_target_local_x,look_target_local_y,look_target_local_z,geometry_kind,wall_x,back_wall_x,slit_center_y,slit_half_y,wall_half_z,goal_local_x,goal_local_y,camera_forward_x,camera_forward_y,camera_forward_z,fill_rate,quality_mean,invalid_rate,scene_effect_mean,scene_mask_mean,slit_cue_mask_mean,key_cue_artifact_mean,front_wall_hit_mean,back_wall_hit_mean,scene_mask_on_back_wall_mean,glare_invalid_rate,glare_quality_mean,local_mask_area,local_fill,local_depth_mean,local_depth_std,local_quality_mean,local_front_fill,local_front_area,slit_neighbor_front_band_fill,slit_neighbor_front_band_area,slit_neighbor_front_masked_fill,slit_neighbor_front_unmasked_fill,far_slit_fill,far_slit_clean_depth_fill,far_slit_area,far_slit_center_fill,far_slit_center_clean_depth_fill,far_slit_center_area,far_slit_edge_fill,far_slit_edge_clean_depth_fill,far_slit_edge_area,slit_adjacent_front_fill,slit_adjacent_front_area,slit_adjacent_front_quality_mean,clean_slit_shortcut,visible_slit_body_shortcut,whole_slit_black_flag,clean_slit_edge_shortcut,visible_slit_edge_shortcut,valid_separator_band_shortcut,local_edge_area,local_edge_fill,local_edge_quality_mean,panel,method,method_label,column_idx,reference_step,source_step,reference_local_x,source_policy_power,source_policy_exposure,source_policy_gain,scene_name
specular,far_right,23,fixed,0.5,0.5,0.5,0.3717614412307739,0.339718759059906,0.3605339229106903,0.08257470250513911,1.862613320350647,0.043733298778533936,0.0,-0.30138134956359863,0.47221052646636963,1.5370206832885742,-0.30138134956359863,0.47221052646636963,1.5370206832885742,0.9389413595199585,0.3324025273323059,1.6044987440109253,0.9389413595199585,0.3324025273323059,1.6044987440109253,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9922581315040588,-0.11184640228748322,0.05398242175579071,0.41565394401550293,0.308804452419281,0.5843460559844971,0.2405228614807129,0.28901395201683044,0.7560364007949829,0.1024140939116478,0.4492921233177185,0.06388549506664276,0.0,0.816318154335022,0.08575562387704849,0.51953125,0.21331105541631856,0.2594134509563446,0.05652911961078644,0.09993292391300201,0.21331105541631856,0.51953125,0.3629139072847682,0.10923032407407407,0.3629139072847682,0.0,0.634447455585667,0.44233664558867813,0.48046875,0.6454258675078864,0.46214511041009465,0.4586226851851852,0.40397350993377484,0.026490066225165563,0.021846064814814815,0.15894039735099338,0.021846064814814815,0.07035601884126663,0.34798134886884313,0.49911279922849044,0.0,0.020839442240627323,0.3397657997456252,0.2302498050734738,0.059172453703703706,0.31784841075794623,0.14254236221313477,same_pose,fixed,Fixed,2,23,22,-0.30138134956359863,0.5,0.5,0.5,specular
specular,far_right,23,randfix,0.6835188865661621,0.2016175389289856,0.6034044027328491,0.3717614412307739,0.339718759059906,0.3605339229106903,0.08257470250513911,1.862613320350647,0.043733298778533936,0.0,-0.30138134956359863,0.47221052646636963,1.5370206832885742,-0.30138134956359863,0.47221052646636963,1.5370206832885742,0.9389413595199585,0.3324025273323059,1.6044987440109253,0.9389413595199585,0.3324025273323059,1.6044987440109253,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9922581315040588,-0.11184640228748322,0.05398242175579071,0.19777199625968933,0.1345316767692566,0.8022280335426331,0.4448498785495758,0.28901395201683044,0.7560364007949829,0.24252605438232422,0.4492921233177185,0.06388549506664276,0.0,1.0,0.0,0.51953125,0.0,0.0,0.0,0.0,0.0,0.51953125,0.0,0.10923032407407407,0.0,0.0,0.41162300511894007,0.1493526046371575,0.48046875,0.4309148264984227,0.15646687697160883,0.4586226851851852,0.006622516556291391,0.0,0.021846064814814815,0.0,0.021846064814814815,0.0,0.1493526046371575,0.41162300511894007,0.0,0.0,0.006622516556291391,0.0,0.059172453703703706,0.0,0.0,same_pose,randfix,Random fixed,2,23,24,-0.30138134956359863,0.6835188865661621,0.2016175389289856,0.6034044027328491,specular
specular,far_right,23,flightonly,0.3717614412307739,0.339718759059906,0.3605339229106903,0.3717614412307739,0.339718759059906,0.3605339229106903,0.08257470250513911,1.862613320350647,0.043733298778533936,0.0,-0.30138134956359863,0.47221052646636963,1.5370206832885742,-0.30138134956359863,0.47221052646636963,1.5370206832885742,0.9389413595199585,0.3324025273323059,1.6044987440109253,0.9389413595199585,0.3324025273323059,1.6044987440109253,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9922581315040588,-0.11184640228748322,0.05398242175579071,1.0,0.8633186221122742,0.0,0.0552055649459362,0.28901395201683044,0.7560364007949829,0.01834709942340851,0.4492921233177185,0.06388549506664276,0.0,0.0,0.9907562732696533,0.51953125,1.0,0.25014424324035645,0.054686203598976135,0.989707350730896,1.0,0.51953125,1.0,0.10923032407407407,1.0,0.0,1.0,0.992773261065944,0.48046875,1.0,0.9952681388012619,0.4586226851851852,1.0,0.9403973509933775,0.021846064814814815,1.0,0.021846064814814815,0.9456708431243896,0.0,0.0,0.0,0.0,0.0,1.0,0.059172453703703706,1.0,0.9721933603286743,same_pose,flightonly,Ours,2,23,23,-0.30138134956359863,0.3717614412307739,0.339718759059906,0.3605339229106903,specular
specular,far_right,25,fixed,0.5,0.5,0.5,0.37986576557159424,0.33933573961257935,0.35871973633766174,0.07283641643804738,1.6811962127685547,0.01642400026321411,0.0,-0.09610269218683243,0.526423990726471,1.5418869256973267,-0.09610269218683243,0.526423990726471,1.5418869256973267,1.1377904415130615,0.33982720971107483,1.6139229536056519,1.1377904415130615,0.33982720971107483,1.6139229536056519,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9871145486831665,-0.14927741885185242,0.05762885883450508,0.9875578880310059,0.7966567873954773,0.012442129664123058,0.08221341669559479,0.09508733451366425,0.44759154319763184,0.037643708288669586,0.19109277427196503,0.1067066565155983,0.0,0.0,0.5015624165534973,0.1974826388888889,1.0,0.17173835635185242,0.020062975585460663,0.5016793012619019,1.0,0.1974826388888889,1.0,0.059172453703703706,1.0,0.0,0.9844961240310077,0.8009734991887507,0.8025173611111112,0.984263494967978,0.8001829826166514,0.7906539351851852,1.0,0.8536585365853658,0.011863425925925927,1.0,0.011863425925925927,0.4847550690174103,0.0,0.0,0.0,0.0,0.0,0.9844961240310077,0.011863425925925927,1.0,0.4847550690174103,same_pose,fixed,Fixed,3,25,25,-0.09610269218683243,0.5,0.5,0.5,specular
specular,far_right,25,randfix,0.6835188865661621,0.2016175389289856,0.6034044027328491,0.37986576557159424,0.33933573961257935,0.35871973633766174,0.07283641643804738,1.6811962127685547,0.01642400026321411,0.0,-0.09610269218683243,0.526423990726471,1.5418869256973267,-0.09610269218683243,0.526423990726471,1.5418869256973267,1.1377904415130615,0.33982720971107483,1.6139229536056519,1.1377904415130615,0.33982720971107483,1.6139229536056519,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9871145486831665,-0.14927741885185242,0.05762885883450508,0.7297453880310059,0.5484544038772583,0.27025464177131653,0.15364515781402588,0.09508733451366425,0.44759154319763184,0.0891437903046608,0.19109277427196503,0.1067066565155983,0.0,1.0,0.0,0.1974826388888889,0.0,0.0,0.0,0.0,0.0,0.1974826388888889,0.0,0.059172453703703706,0.0,0.0,0.90932035334415,0.6322336398053001,0.8025173611111112,0.9215004574565416,0.6402561756633119,0.7906539351851852,0.0975609756097561,0.0975609756097561,0.011863425925925927,0.0,0.011863425925925927,0.0,0.6322336398053001,0.90932035334415,0.0,0.0975609756097561,0.0975609756097561,0.0,0.011863425925925927,0.0,0.0,same_pose,randfix,Random fixed,3,25,27,-0.09610269218683243,0.6835188865661621,0.2016175389289856,0.6034044027328491,specular
specular,far_right,25,flightonly,0.37986576557159424,0.33933573961257935,0.35871973633766174,0.37986576557159424,0.33933573961257935,0.35871973633766174,0.07283641643804738,1.6811962127685547,0.01642400026321411,0.0,-0.09610269218683243,0.526423990726471,1.5418869256973267,-0.09610269218683243,0.526423990726471,1.5418869256973267,1.1377904415130615,0.33982720971107483,1.6139229536056519,1.1377904415130615,0.33982720971107483,1.6139229536056519,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9871145486831665,-0.14927741885185242,0.05762885883450508,1.0,0.8091874718666077,0.0,0.01973820850253105,0.09508733451366425,0.44759154319763184,0.007354131434112787,0.19109277427196503,0.1067066565155983,0.0,0.0,0.9939177632331848,0.1974826388888889,1.0,0.17340736091136932,0.021002041175961494,0.993698239326477,1.0,0.1974826388888889,1.0,0.059172453703703706,1.0,0.0,1.0,0.7705065801334054,0.8025173611111112,1.0,0.7796889295516926,0.7906539351851852,1.0,0.15853658536585366,0.011863425925925927,1.0,0.011863425925925927,0.9716863036155701,0.0,0.0,0.0,0.0,0.0,1.0,0.011863425925925927,1.0,0.9716863036155701,same_pose,flightonly,Ours,3,25,25,-0.09610269218683243,0.37986576557159424,0.33933573961257935,0.35871973633766174,specular
specular,far_right,28,fixed,0.5,0.5,0.5,0.43666237592697144,0.38904350996017456,0.4012959897518158,0.08157835700999916,1.4488012790679932,0.03453133627772331,0.0,0.15942174196243286,0.5473501682281494,1.547775149345398,0.15942174196243286,0.5473501682281494,1.547775149345398,1.3807380199432373,0.29874610900878906,1.6430786848068237,1.3807380199432373,0.29874610900878906,1.6430786848068237,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9770530462265015,-0.19888325035572052,0.0762428417801857,1.0,0.9229578375816345,0.0,6.724929698975757e-05,0.0,0.0021095748525112867,6.724929698975757e-05,0.0,0.13296490907669067,0.0,0.0,0.0,1.0,1.0,2.2702744007110596,0.22620965540409088,0.9229578375816345,1.0,0.43938078703703703,0.0,0.0,0.0,0.0,1.0,0.95,0.16493055555555555,1.0,0.95,0.16493055555555555,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,same_pose,fixed,Fixed,4,28,27,0.15942174196243286,0.5,0.5,0.5,specular
specular,far_right,28,randfix,0.6835188865661621,0.2016175389289856,0.6034044027328491,0.43666237592697144,0.38904350996017456,0.4012959897518158,0.08157835700999916,1.4488012790679932,0.03453133627772331,0.0,0.15942174196243286,0.5473501682281494,1.547775149345398,0.15942174196243286,0.5473501682281494,1.547775149345398,1.3807380199432373,0.29874610900878906,1.6430786848068237,1.3807380199432373,0.29874610900878906,1.6430786848068237,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9770530462265015,-0.19888325035572052,0.0762428417801857,1.0,0.8203893303871155,0.0,0.0001592525513842702,0.0,0.0021095748525112867,0.0001592525513842702,0.0,0.13296490907669067,0.0,0.0,0.0,1.0,1.0,2.2702744007110596,0.22620965540409088,0.8203893303871155,1.0,0.43938078703703703,0.0,0.0,0.0,0.0,1.0,0.95,0.16493055555555555,1.0,0.95,0.16493055555555555,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,same_pose,randfix,Random fixed,4,28,30,0.15942174196243286,0.6835188865661621,0.2016175389289856,0.6034044027328491,specular
specular,far_right,28,flightonly,0.43666237592697144,0.38904350996017456,0.4012959897518158,0.43666237592697144,0.38904350996017456,0.4012959897518158,0.08157835700999916,1.4488012790679932,0.03453133627772331,0.0,0.15942174196243286,0.5473501682281494,1.547775149345398,0.15942174196243286,0.5473501682281494,1.547775149345398,1.3807380199432373,0.29874610900878906,1.6430786848068237,1.3807380199432373,0.29874610900878906,1.6430786848068237,single_wall_slit,0.0,2.4560461044311523,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9770530462265015,-0.19888325035572052,0.0762428417801857,1.0,0.8512610197067261,0.0,2.8545206077978946e-05,0.0,0.0021095748525112867,2.8545206077978946e-05,0.0,0.13296490907669067,0.0,0.0,0.0,1.0,1.0,2.2702744007110596,0.22620965540409088,0.8512610197067261,1.0,0.43938078703703703,0.0,0.0,0.0,0.0,1.0,0.95,0.16493055555555555,1.0,0.95,0.16493055555555555,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,same_pose,flightonly,Ours,4,28,28,0.15942174196243286,0.43666237592697144,0.38904350996017456,0.4012959897518158,specular
