method,scene_name,phase,n,power,exposure,gain,scene_effect_mean,min_margin,clearance,goal_dist
nondiff,dark,before,7250,0.42326188819161775,0.39794982705445126,0.5036318402536984,0.40632747283064086,0.8589136942018883,0.8589136942018883,2.6249830948895423
nondiff,dark,near,1165,0.4109885236480205,0.3687982966204058,0.5077680919815031,0.1481516651976266,0.022830014607505354,0.022830014607505354,1.5645475618829032
nondiff,glare,after,5489,0.39913233903440803,0.3527202385982153,0.512674514274168,9.33006104256319e-06,0.7129492593780201,0.7129492593780201,0.509116437666201
nondiff,glare,before,7316,0.4226786670844825,0.39691012062666,0.503813723349682,0.5134375456979263,0.8582337454629758,0.8582337454629758,2.624507874739242
nondiff,glare,near,1112,0.41150337597020237,0.368475881787084,0.5082232841431237,0.4928446367419435,0.022662452850055297,0.022662452850055297,1.5644927676633107
nondiff,specular,after,4764,0.39869429639639925,0.3516752260645631,0.5132472127313178,4.526280031815888e-08,0.6935004839059012,0.6935004839059012,0.51608377983864
nondiff,specular,before,7280,0.4203687378870589,0.39501342426698943,0.5045741105718272,0.09490457397455779,0.8568220653635633,0.8568220653635633,2.6227645599416323
nondiff,specular,near,1004,0.4045588613684434,0.3575524824905206,0.5116105356005084,0.03281028565393774,0.02170802828931413,0.02170802828931413,1.5672572141149606
pretrained,dark,after,302,0.5048520220628637,0.4893473464724244,0.4720550129153081,4.021704902053764e-07,0.5488598872321528,0.5488598872321528,0.7566744283532465
pretrained,dark,before,6868,0.680592239987871,0.7074939953461593,0.6974053861585272,0.10523632857457658,0.848139320727432,0.848139320727432,2.610328417082616
pretrained,dark,near,301,0.6647839750166351,0.7053699645885202,0.6890875592184226,0.07247383330625559,0.009145035974269862,0.009145035974269862,1.6559514761763157
pretrained,glare,after,379,0.5136887775562055,0.46241108856918317,0.4507980292422161,1.096613659283671e-05,0.5719664555269055,0.5719664555269055,0.7239402806617339
pretrained,glare,before,8564,0.7857943266658013,0.10357517215637738,0.1196457501727042,0.09293613641899964,0.8264676115644917,0.8264676115644917,2.5902333607717076
pretrained,glare,near,311,0.7252241026166935,0.08418949268806211,0.11649561377535679,0.05249189456651164,0.012477946596091367,0.012477946596091367,1.6358069051116992
pretrained,specular,after,319,0.4987769330556864,0.47250628163074626,0.4644252268311372,1.484128334252894e-07,0.5871167337072307,0.5871167337072307,0.5925493683420753
pretrained,specular,before,7800,0.37844432635567127,0.4003798398681176,0.36309372735329165,0.050193317035953394,0.8200246619869125,0.8200246619869125,2.57962811254538
pretrained,specular,near,284,0.40316484805563807,0.3618270310927445,0.37518582314672605,0.041581778642454006,0.009778174553656767,0.009778174553656767,1.6489404221655617
randfix,dark,after,6029,0.5517679128216895,0.5137599628819698,0.44118185129234755,2.2352834541023902e-07,0.7034057758984568,0.7034057758984568,0.49108714909832024
randfix,dark,before,7040,0.5387751123053022,0.5060050568236462,0.4539404200815956,0.32809187987004407,0.8648972236136284,0.8648972236136284,2.6303339984945278
randfix,dark,near,1185,0.5474468600523623,0.48675254005545804,0.4491654643733919,0.11665092275075682,0.023016900827770245,0.023016900827770245,1.5700546142924183
randfix,glare,after,5724,0.5292660281202703,0.5385067964247333,0.47615941608998896,7.560055675270416e-06,0.7146604011221876,0.7146604011221876,0.4813281513661391
randfix,glare,before,7109,0.5228264228553355,0.5029895094210612,0.46132162533897497,0.4733993826426942,0.8645913069479382,0.8645913069479382,2.6300926886458056
randfix,glare,near,1118,0.5245470834932622,0.5027744964644819,0.45631054273518284,0.4659127300083925,0.022474843136610526,0.022474843136610526,1.5688494260494525
randfix,specular,after,5940,0.52469712299254,0.5086559404929479,0.45855897135267454,1.1715212928933879e-07,0.7038400920164405,0.7038400920164405,0.49207274669731155
randfix,specular,before,7084,0.5267408378769337,0.48714976041419467,0.4557218777942921,0.22498930023544936,0.8646845673290458,0.8646845673290458,2.6298742533773436
randfix,specular,near,1164,0.5229555306847358,0.4760687782323545,0.45498156972402304,0.080083576867276,0.023880391447789667,0.023880391447789667,1.563339764617153
zero,dark,after,288,0.5,0.5,0.5,1.7779487865626084e-07,0.732859669615411,0.732859669615411,0.4273400124188306
zero,dark,before,6979,0.5,0.5,0.5,0.3421538281563399,0.8761001639725017,0.8761001639725017,2.6379590421201917
zero,dark,near,197,0.5,0.5,0.5,0.34135582670084663,0.005899410896348356,0.005899410896348356,1.6698337769145288
zero,glare,after,317,0.5,0.5,0.5,8.305577103763848e-06,0.7491828071112137,0.7491828071112137,0.44283274061719324
zero,glare,before,7027,0.5,0.5,0.5,0.44187736267154243,0.8755482950804007,0.8755482950804007,2.6372379311562533
zero,glare,near,178,0.5,0.5,0.5,0.6393346192663159,0.0067077430685867,0.0067077430685867,1.6635366504111986
zero,specular,after,320,0.5,0.5,0.5,8.14370896558198e-08,0.6711968437768518,0.6711968437768518,0.4196187971159816
zero,specular,before,7006,0.5,0.5,0.5,0.16304844727778509,0.875701075980375,0.875701075980375,2.6371903462203066
zero,specular,near,188,0.5,0.5,0.5,0.16593978983547808,0.0062272908275035465,0.0062272908275035465,1.6630638172017767
